mdb_id,onestop_id,method
mdb-1287,f-brite~bus~va,url
mdb-1288,f-linktransit~nc~us,name_0.83
mdb-1295,f-9qc7-yolobusyolocounty,url
mdb-1296,f-9qcd-etranelkgrove,name_0.87
mdb-1299,f-fredericksburg~regional~transit,url
mdb-1312,f-cambria~county~transit~authority,name_0.86
mdb-1323,f-9qc2-trideltatransit,name_1.00
mdb-1327,f-quailtrail~or~us,url
mdb-1328,f-virginia~breeze,url
mdb-1784,f-towson~loop,url
mdb-1826,f-bettendorf~ia~us,url
mdb-1842,f-9q9-ucsc~taps,url
mdb-1846,f-dqc-wmata~bus,url
mdb-1847,f-dqc-wmata~rail,url
mdb-1861,f-dq0d-wavetransit,url
mdb-1862,f-dq0d-wavetransit~seahawk~shuttle,url
mdb-1867,f-salina~city~go~ks,url
mdb-1906,f-9x2-cachevalleytransitdistrict,url
mdb-1923,f-dnjq-greenlink,url
mdb-1958,f-dartmouth~vt~us,url
mdb-1971,f-linktransit~nc~us,url
mdb-1972,f-9r0-redding~ca~us,url
mdb-1973,f-dnvx-athenspublictransit,url
mdb-1974,f-9qc2-trideltatransit,url
mdb-1983,f-dq25-capital~area~transit~nc~us,url
mdb-1986,f-9qbdx-santarosacitybus,name_1.00
mdb-1999,f-redondo~beach~cities~transit,url
mdb-2000,f-rrta~pa,url
mdb-2001,f-stark~area~regional~transit~authority,url
mdb-2019,f-rockford~mass~transit~district,url
mdb-2024,f-c25p-benfranklintransit,url
mdb-2025,f-9q9hy-mountainview,url
mdb-2026,f-dq0d-wavetransit~seahawk~shuttle,url
mdb-2030,f-relaxsan~ca~us,url
mdb-2032,f-winona~mn,url
mdb-2035,f-stl~loop~trolley,url
mdb-2040,f-lebanon~transit~pa~us,name_0.81
mdb-2043,f-discovergoodwill~co~us,url
mdb-2045,f-9zv-twin~cities~minnesota,name_0.83
mdb-2046,f-elpaso~co~us,url
mdb-2048,f-gunnisonvalleyrta~co~us~flex,url
mdb-2049,f-prowerscounty~co~us~flex,url
mdb-2052,f-bctransit~100~mile~house,name_0.80
mdb-2054,f-9xj-rtd,name_1.00
mdb-2060,f-9vk-metropolitantransitauthorityofharriscounty,url
mdb-2061,f-9xh-ecotransit~co~us,url
mdb-2062,f-9y69-embark,url
mdb-2064,f-barta~pa,url
mdb-2065,f-baton~rouge~cats,url
mdb-2066,f-dnfq-bloomingtontransit,url
mdb-2067,f-dngb-lextran,url
mdb-2068,f-dngy-transitauthorityofnorthernkentucky,url
mdb-2069,f-dpc5-valleytransit,url
mdb-2070,f-altoona~metro~transit,name_0.82
mdb-2071,f-dpq-metro,url
mdb-2072,f-dps2w-universityofmichigantransitservices,url
mdb-2073,f-thompson~island~ferry,url
mdb-2074,f-dq25-capital~area~transit~nc~us,url
mdb-2075,f-las~cruces~road~runner,url
mdb-2076,f-greeley~evans~transit,url
mdb-2079,f-broome~county~ny~us,url
mdb-2080,f-djwq-chathamareatransit,url
mdb-2081,f-dn4m-huntsvilleshuttle,url
mdb-2082,f-dn5r-carta,url
mdb-2083,f-9zx9-thejule,url
mdb-2127,f-dp9-milwaukeecountytransitsystem,url
mdb-2135,f-9qc-eldoradotransit~ca~us,url
mdb-2136,f-9qcd-etranelkgrove,url
mdb-2137,f-9qcd-etranelkgrove,name_0.87
mdb-2146,f-albany~ga~us,url
mdb-2149,f-9q5f7-burbankbus,url
mdb-2156,f-adamscounty~co~us~flex,url
mdb-2157,f-bentcounty~co~us~flex,url
mdb-2161,f-cityofloveland~co~us,url
mdb-2164,f-concordareatransit~nh~us,url
mdb-2165,f-continuum~co~us,url
mdb-2169,f-kiowacounty~co~us,url
mdb-2170,f-lajunta~co~us,url
mdb-2171,f-lakewoodrides~co~us,url
mdb-2172,f-manteca~transit~flex,url
mdb-2173,f-mountainfamilycenter~co~us~flex,url
mdb-2174,f-move~stanislaus~vetsvan~flex,url
mdb-2175,f-omnibus~co~us~flex,url
mdb-2178,f-rccoa~co~us~flex,url
mdb-2180,f-san~joaquin~rtd~dial~a~rideand~van~go~flex,url
mdb-2181,f-sccog~co~us~flex,url
mdb-2182,f-silverkey~co~us~flex,url
mdb-2184,f-southwestrides~co~us~flex,url
mdb-2185,f-srda~co~us~flex,url
